subject,scanner
sub-1050598,Prisma_fit
sub-1050600,Prisma_fit
sub-1050604,Prisma_fit
sub-1050608,Prisma_fit
sub-1050613,Prisma_fit
sub-1050614,Prisma_fit
sub-1050615,Prisma_fit
sub-1050619,Prisma_fit
sub-1050621,Prisma_fit
sub-1050627,Prisma_fit
sub-1050630,Prisma_fit
sub-1050633,Prisma_fit
sub-1050636,Prisma_fit
sub-1050639,Prisma_fit
sub-1050643,Prisma_fit
sub-1050644,Prisma_fit
sub-1050646,Prisma_fit
sub-1050647,Prisma_fit
sub-1050648,Prisma_fit
sub-1050649,Prisma_fit
sub-1050650,Prisma_fit
sub-1050655,Prisma_fit
sub-1050658,Prisma_fit
sub-1050659,Prisma_fit
sub-1050660,Prisma_fit
sub-1050662,Prisma_fit
sub-1050665,Prisma_fit
sub-1050666,Prisma_fit
sub-1050680,Prisma_fit
sub-1050681,Prisma_fit
sub-1050687,Prisma_fit
sub-1050689,Prisma_fit
sub-1050698,Prisma_fit
sub-1050700,Prisma_fit
sub-1050701,Prisma_fit
sub-1050704,Prisma_fit
sub-1130131,Prisma_fit
sub-1130160,Prisma_fit
sub-1130211,Prisma_fit
sub-1130217,Prisma_fit
sub-1130227,Prisma_fit
sub-1140078,TrioTim
sub-3940103,Prisma_fit
sub-3940114,Prisma_fit
sub-3940137,Prisma_fit
sub-3940147,Prisma_fit
sub-3940184,Prisma_fit
sub-3940185,Prisma_fit
sub-3940186,Prisma_fit
sub-3940189,Prisma_fit
sub-3940193,Prisma_fit
sub-3940195,Prisma_fit
sub-3940196,Prisma_fit
sub-3940203,Prisma_fit
